,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,Area/Perimeter,Perimeter/Angle,Area/Angle,Area/FeretX,Area/FeretY,Area/FeretZ,Perimeter/FeretX,Perimeter/FeretY,Perimeter/FeretZ,Angle/FeretX,Angle/FeretY,Angle/FeretZ,TYPE
1,57,56.321,6.116,56.321,578,466,6.116,0,56.321,1.012055894,9.208796599,9.319816874,0.098615917,0.122317597,9.319816874,0.097441176,0.120860515,9.208796599,0.010581315,0.013124464,1,Fourth
2,23,22.091,-84.806,22.091,606,450,95.194,0,22.091,1.041147979,-0.260488645,-0.271207226,0.037953795,0.051111111,0.241611866,0.036453795,0.049091111,0.232062945,-0.139943894,-0.188457778,-0.890875475,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,59,58.31,-30.964,58.31,624,496,149.036,3.55E-15,58.31,1.011833305,-1.883154631,-1.905438574,0.094551282,0.118951613,0.395877506,0.093445513,0.117560484,0.391247752,-0.049621795,-0.062427419,-0.207761883,Fourth
2,24,23.409,-109.983,23.409,646,524,70.017,0,23.409,1.0252467,-0.212841985,-0.218215542,0.037151703,0.045801527,0.342773898,0.036236842,0.044673664,0.334333091,-0.170252322,-0.209891221,-1.570804233,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,68,67.082,-26.565,67.082,590,608,153.435,0,67.082,1.013684744,-2.525202334,-2.559759081,0.115254237,0.111842105,0.44318441,0.113698305,0.110332237,0.437201421,-0.045025424,-0.043692434,-0.173135204,Fourth
2,27,26.077,-122.471,26.077,614,630,57.529,0,26.077,1.035395176,-0.212923876,-0.220460354,0.043973941,0.042857143,0.469328513,0.042470684,0.041392063,0.45328443,-0.199464169,-0.194398413,-2.128856751,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,67,65.513,-12.339,65.513,572,462,167.661,0,65.513,1.022697785,-5.309425399,-5.429937596,0.117132867,0.145021645,0.399615892,0.114533217,0.14180303,0.390746805,-0.021571678,-0.026707792,-0.073594933,Fourth
2,25,24.166,-114.444,24.166,602,478,65.556,0,24.166,1.034511297,-0.211160043,-0.21844745,0.041528239,0.052301255,0.381353347,0.040142857,0.050556485,0.368631399,-0.190106312,-0.239422594,-1.745744097,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,63,61.612,-13.134,61.612,614,492,166.866,1.78E-15,61.612,1.022528079,-4.691030912,-4.796710827,0.102605863,0.12804878,0.377548452,0.100345277,0.125227642,0.3692304,-0.021390879,-0.026695122,-0.078709863,Fourth
2,28,26.833,-116.565,26.833,642,512,63.435,0,26.833,1.043491223,-0.230197744,-0.240209325,0.043613707,0.0546875,0.441396705,0.04179595,0.052408203,0.422999921,-0.181565421,-0.227666016,-1.837550248,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,47,46,0,46,522,432,0,0,46,1.02173913,0,0,0.090038314,0.108796296,0,0.088122605,0.106481481,0,0,0,0,Fourth
2,25,24.083,-85.236,24.083,546,420,94.764,0,24.083,1.038076652,-0.282544934,-0.293303299,0.045787546,0.05952381,0.263813262,0.044108059,0.057340476,0.254136592,-0.15610989,-0.202942857,-0.899455489,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,76,75.286,-16.991,75.286,602,446,163.009,0,75.286,1.009483835,-4.430934024,-4.472956271,0.126245847,0.170403587,0.466231926,0.125059801,0.168802691,0.4618518,-0.028224252,-0.038096413,-0.104233509,Fourth
2,30,28.636,-114.775,28.636,634,470,65.225,0,28.636,1.047632351,-0.249496842,-0.261380963,0.047318612,0.063829787,0.45994634,0.045167192,0.06092766,0.439034113,-0.181033123,-0.244202128,-1.759678038,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,90,88.64,-23.962,88.64,639,585,156.038,0,88.64,1.01534296,-3.699190385,-3.755946916,0.14084507,0.153846154,0.576782579,0.138716745,0.151521368,0.568066753,-0.037499218,-0.040960684,-0.153565157,Fourth
2,29,28.302,-122.005,28.302,675,615,57.995,0,28.302,1.024662568,-0.231974099,-0.237695176,0.042962963,0.047154472,0.500043107,0.041928889,0.046019512,0.488007587,-0.180748148,-0.198382114,-2.103715838,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,87,85.907,-24.775,85.907,645,588,155.225,0,85.907,1.012723061,-3.467487386,-3.51160444,0.134883721,0.147959184,0.560476727,0.133189147,0.14610034,0.553435336,-0.038410853,-0.042134354,-0.159607022,Fourth
2,29,28.302,-122.005,28.302,678,618,57.995,0,28.302,1.024662568,-0.231974099,-0.237695176,0.042772861,0.046925566,0.500043107,0.041743363,0.045796117,0.488007587,-0.179948378,-0.197419094,-2.103715838,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,73,72.125,-16.928,72.125,624,657,163.072,0,72.125,1.012131716,-4.260692344,-4.312381853,0.116987179,0.111111111,0.447655024,0.115584936,0.1097793,0.442289296,-0.027128205,-0.025765601,-0.103806907,Fourth
2,33,32.311,-111.801,32.311,654,678,68.199,0,32.311,1.021324007,-0.289004571,-0.295167306,0.050458716,0.048672566,0.483878063,0.049405199,0.047656342,0.473775275,-0.170949541,-0.16489823,-1.639334888,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,1080,258,0,120.337,501,645,175.711,9,0,4.186046512,0,0,2.155688623,1.674418605,6.146456397,0.51497006,0.4,1.468320139,0,0,0,Fifth
2,43,42,-90,42,573,624,90,0,42,1.023809524,-0.466666667,-0.477777778,0.07504363,0.068910256,0.477777778,0.073298429,0.067307692,0.466666667,-0.157068063,-0.144230769,-1,Fifth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fifth
