,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
4,71,69.778,-25.463,69.778,636,576,154.537,0,69.778,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,85,84.054,-2.045,84.054,627,591,177.955,0,84.054,First,,,,,,,,,,,
2,31,30.15,-84.289,30.15,669,579,95.711,0,30.15,First,,,,,,,,,,,
3,66,64.622,-21.801,64.622,639,579,158.199,0,64.622,First,,,,,,,,,,,
4,63,61.774,-150.945,61.774,636,609,29.055,0,61.774,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,82,81,0,81,615,453,0,0,81,First,,,,,,,,,,,
2,37,36.125,-85.236,36.125,648,429,94.764,0,36.125,First,,,,,,,,,,,
3,76,75.18,-28.61,75.18,618,429,151.39,0,75.18,First,,,,,,,,,,,
4,59,58.249,-145.491,58.249,618,462,34.509,0,58.249,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,103,102.176,-3.366,102.176,597,579,176.634,0,102.176,First,,,,,,,,,,,
2,31,30.15,-95.711,30.15,648,603,84.289,4.44E-16,30.15,First,,,,,,,,,,,
3,82,80.777,-31.329,80.777,603,567,148.671,0,80.777,First,,,,,,,,,,,
4,96,95.341,-167.276,95.341,606,591,12.724,0,95.341,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,97,96.047,-14.47,96.047,567,453,165.53,0,96.047,First,,,,,,,,,,,
2,39,37.947,-108.435,37.947,618,489,71.565,0,37.947,First,,,,,,,,,,,
3,72,70.803,-36.384,70.803,585,447,143.616,0,70.803,First,,,,,,,,,,,
4,97,96,180,96,570,465,0,0,96,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,101,99.725,-15.709,99.725,582,525,164.291,0,99.725,First,,,,,,,,,,,
2,36,35.114,-109.983,35.114,633,561,70.017,0,35.114,First,,,,,,,,,,,
3,78,76.662,-30.579,76.662,597,525,149.421,7.11E-15,76.662,First,,,,,,,,,,,
4,81,80.05,-167.005,80.05,600,555,12.995,0,80.05,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,90,88.843,11.689,88.843,618,537,11.689,0,88.843,First,,,,,,,,,,,
2,48,46.861,-50.194,46.861,642,513,129.806,0,46.861,First,,,,,,,,,,,
3,77,75.538,-6.843,75.538,615,531,173.157,0,75.538,First,,,,,,,,,,,
4,66,64.9,-146.31,64.9,630,549,33.69,0,64.9,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,99,98.27,12.339,98.27,642,471,12.339,0,98.27,First,,,,,,,,,,,
2,40,39,-67.38,39,681,441,112.62,0,39,First,,,,,,,,,,,
3,91,90.2,-3.814,90.2,636,465,176.186,0,90.2,First,,,,,,,,,,,
4,68,66.611,-144.162,66.611,660,480,35.838,0,66.611,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,92,90.796,7.595,90.796,600,456,7.595,0,90.796,First,,,,,,,,,,,
2,47,45.793,-58.392,45.793,636,432,121.608,3.55E-15,45.793,First,,,,,,,,,,,
3,84,82.976,-12.529,82.976,597,447,167.471,0,82.976,First,,,,,,,,,,,
4,63,61.847,-140.906,61.847,618,471,39.094,0,61.847,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,97,96.047,1.79,96.047,600,444,1.79,0,96.047,First,,,,,,,,,,,
2,45,43.681,-74.055,43.681,648,423,105.945,1.78E-15,43.681,First,,,,,,,,,,,
3,89,87.824,-7.853,87.824,600,444,172.147,1.78E-15,87.824,First,,,,,,,,,,,
4,67,65.795,-133.152,65.795,627,465,46.848,0,65.795,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,109,108,0,108,438,723,0,0,108,First,,,,,,,,,,,
2,34,33,-90,33,489,708,90,0,33,First,,,,,,,,,,,
3,79,77.885,-15.642,77.885,459,711,164.358,3.55E-15,77.885,First,,,,,,,,,,,
4,99,97.673,-169.38,97.673,435,729,10.62,0,97.673,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,109,108,0,108,597,525,0,0,108,First,,,,,,,,,,,
2,40,39,-90,39,654,507,90,0,39,First,,,,,,,,,,,
3,77,76.485,-25.56,76.485,612,507,154.44,0,76.485,First,,,,,,,,,,,
4,104,102.616,-164.745,102.616,606,537,15.255,3.55E-15,102.616,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,119,117.881,-14.744,117.881,504,576,165.256,0,117.881,First,,,,,,,,,,,
2,39,37.947,-108.435,37.947,558,609,71.565,0,37.947,First,,,,,,,,,,,
3,92,90.697,-34.216,90.697,513,564,145.784,0,90.697,First,,,,,,,,,,,
4,106,105.385,-175.101,105.385,510,597,4.899,0,105.385,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,115,114.039,-1.507,114.039,588,537,178.493,0,114.039,First,,,,,,,,,,,
2,41,40.025,-102.995,40.025,648,555,77.005,0,40.025,First,,,,,,,,,,,
3,81,80.498,-26.565,80.498,612,519,153.435,0,80.498,First,,,,,,,,,,,
4,109,108.374,-175.236,108.374,582,537,4.764,1.78E-15,108.374,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,133,132.442,13.092,132.442,585,486,13.092,0,132.442,First,,,,,,,,,,,
2,39,37.59,-61.39,37.59,642,456,118.61,1.78E-15,37.59,First,,,,,,,,,,,
3,112,111,0,111,600,477,0,0,111,First,,,,,,,,,,,
4,93,91.586,-148.392,91.586,612,495,31.608,7.11E-15,91.586,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,85,84.214,4.086,84.214,600,678,4.086,8.88E-16,84.214,First,,,,,,,,,,,
2,33,32.311,-68.199,32.311,636,663,111.801,0,32.311,First,,,,,,,,,,,
3,77,75.538,-6.843,75.538,609,672,173.157,0,75.538,First,,,,,,,,,,,
4,60,59.169,-149.534,59.169,618,693,30.466,0,59.169,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,91,90,0,90,576,717,0,0,90,First,,,,,,,,,,,
2,35,33.541,-100.305,33.541,618,738,79.695,0,33.541,First,,,,,,,,,,,
3,71,69.971,-30.964,69.971,582,705,149.036,0,69.971,First,,,,,,,,,,,
4,83,81.609,-162.897,81.609,582,729,17.103,0,81.609,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
